Vehicle ID,Other
9,Low Speed - Utility
33,Low Speed - Utility
65,Low Speed - Utility
79,Public Safety Vehicle 
80,Public Safety Vehicle 
81,Public Safety Vehicle 
82,Public Safety Vehicle 
83,Public Safety Vehicle 
84,Public Safety Vehicle 
85,Public Safety Vehicle 
103,Low Speed - Utility
106,Low Speed - Utility
112,Low Speed - Utility
119,Low Speed - Utility
121,Low Speed - Utility
122,Low Speed - Utility
127,Low Speed - Utility
129,Low Speed - Utility
130,Low Speed - Utility
131,Low Speed - Utility
141,Low Speed - Utility
142,Low Speed - Utility
143,Low Speed - Utility
144,Low Speed - Utility
149,Low Speed - Utility
150,Low Speed - Utility
159,Low Speed - Utility
160,Low Speed - Utility
161,Low Speed - Utility
162,Low Speed - Utility
163,Low Speed - Utility
166,Low Speed - Utility
167,Low Speed - Utility
176,Public Safety Vehicle 
177,Public Safety Vehicle 
178,Public Safety Vehicle 
179,Public Safety Vehicle 
180,Public Safety Vehicle 
181,Public Safety Vehicle 
182,Public Safety Vehicle 
200,Low Speed - Utility
203,Low Speed - Utility
209,Low Speed - Utility
216,Low Speed - Utility
218,Low Speed - Utility
219,Low Speed - Utility
224,Low Speed - Utility
226,Low Speed - Utility
227,Low Speed - Utility
228,Low Speed - Utility
238,Low Speed - Utility
239,Low Speed - Utility
240,Low Speed - Utility
241,Low Speed - Utility
246,Low Speed - Utility
247,Low Speed - Utility
256,Low Speed - Utility
257,Low Speed - Utility
258,Low Speed - Utility
259,Low Speed - Utility
260,Low Speed - Utility
263,Low Speed - Utility
264,Low Speed - Utility
273,Public Safety Vehicle 
274,Public Safety Vehicle 
275,Public Safety Vehicle 
276,Public Safety Vehicle 
277,Public Safety Vehicle 
278,Public Safety Vehicle 
279,Public Safety Vehicle 
